央视频道MY,#genre#
北京卫视,http://111.75.151.236:50085/newlive/live/hls/24/live.m3u8
兵团卫视,http://223.109.210.41/4309-tx.otvstream.otvcloud.com/otv/skcc/live/channel67/index.m3u8
兵团卫视,http://pve.czjimi.com:8808/rtp/238.1.78.104:6704
兵团卫视,http://183.195.235.162/hljbuv52.live.bestvcdn.com.cn/001/live/program/live/btws/1300000/mnf.m3u8
兵团卫视,http://111.75.151.236:50085/newlive/live/hls/50/live.m3u8
兵团卫视,http://58.42.59.104/hljbuv52.live.bestvcdn.com.cn/liveplay-kk.rtxapp.com/live/program/live/btws/1300000/mnf.m3u8
兵团卫视,http://php.jdshipin.com:8880/bst.php?id=btws/1300000
东方卫视,http://66.165.240.154:8080/live/jsydws03/hls.m3u8
东方卫视,http://154.yfvodcdn.com:8080/live/jsydws03/hls.m3u8
东方卫视,http://183.195.235.162/hljbuv52.live.bestvcdn.com.cn/001/live/program/live/dfwshd8m/8000000/mnf.m3u8
东方卫视,http://58.42.59.104/hljbuv52.live.bestvcdn.com.cn/liveplay-kk.rtxapp.com/live/program/live/dfwshd8m/8000000/mnf.m3u8
东方卫视,http://58.35.70.169:10055/live/dftv/hls.m3u8
东方卫视,http://xxw.me0.cn/api/migu.php?id=20
东方卫视,http://121.27.126.129:809/hls/38/index.m3u8
东方卫视,http://111.75.151.236:50085/newlive/live/hls/23/live.m3u8
东方卫视,http://8.134.82.80:32858/ysp0409/haiouysp.php?id=40
东方卫视,http://58.35.70.169:10055/live/
东南卫视,http://183.195.235.162/hljbuv52.live.bestvcdn.com.cn/001/live/program/live/dnwshd8m/8000000/mnf.m3u8
东南卫视,http://58.42.59.104/hljbuv52.live.bestvcdn.com.cn/liveplay-kk.rtxapp.com/live/program/live/dnwshd8m/8000000/mnf.m3u8
东南卫视,http://tvdrs.wsrtv.com.cn:8100/channellive/ch1.flv
东南卫视,http://php.jdshipin.com:8880/bst.php?id=dnwshd/4000000
东南卫视,http://58.35.70.169:10055/live/dntv/hls.m3u8
东南卫视,http://111.75.151.236:50085/newlive/live/hls/33/live.m3u8
东南卫视,http://8.134.82.80:32858/ysp0409/haiouysp.php?id=48
东南卫视,http://iptv123.msns.cn:9901/tsfile/live/0137_1.m3u8
甘肃卫视,http://183.195.235.162/hljbuv52.live.bestvcdn.com.cn/001/live/program/live/gswshd8m/8000000/mnf.m3u8
甘肃卫视,http://live.zohi.tv/video/s10001-fztv-3/index.m3u8
甘肃卫视,http://111.75.151.236:50085/newlive/live/hls/41/live.m3u8
甘肃卫视,http://58.42.59.104/hljbuv52.live.bestvcdn.com.cn/liveplay-kk.rtxapp.com/live/program/live/gswshd8m/8000000/mnf.m3u8
甘肃卫视,http://php.jdshipin.com:8880/bst.php?id=gswshd8m/8000000
广东卫视,http://66.165.240.154:8080/live/jsydws04/hls.m3u8
广东卫视,http://154.yfvodcdn.com:8080/live/jsydws04/hls.m3u8
广东卫视,http://113.93.49.90:2000/udp/239.77.1.19:5146
广东卫视,http://219.137.29.213:4433/tsfile/live/0125_1.m3u8
广东卫视,http://183.195.235.162/hljbuv52.live.bestvcdn.com.cn/001/live/program/live/gdwshd8m/8000000/mnf.m3u8
广东卫视,http://119.98.248.194:4022/rtp/239.254.96.140:8914
广东卫视,http://58.35.70.169:10055/live/gdtv/hls.m3u8
广东卫视,http://111.75.151.236:50085/newlive/live/hls/25/live.m3u8
广东卫视,http://58.42.59.104/hljbuv52.live.bestvcdn.com.cn/liveplay-kk.rtxapp.com/live/program/live/gdwshd8m/8000000/mnf.m3u8
广东卫视,http://xxw.me0.cn/api/migu.php?id=28
广东珠江,http://183.11.239.36:808/hls/83/index.m3u8
广东珠江,http://218.13.170.98:9901/tsfile/live/1000_1.m3u8
广东珠江,http://113.86.204.95:9999/udp/239.77.0.1:5146
广东珠江,http://219.135.208.218:8083/tsfile/live/0017_1.m3u8
广东珠江,http://120.197.112.28:9901/tsfile/live/1019_1.m3u8
广东珠江,http://113.110.72.82:8090/hls/105/index.m3u8
广西卫视,http://183.195.235.162/hljbuv52.live.bestvcdn.com.cn/001/live/program/live/gxwshd8m/8000000/mnf.m3u8
广西卫视,http://113.12.72.152:9901/tsfile/live/1024_1.m3u8
广西卫视,http://58.42.59.104/hljbuv52.live.bestvcdn.com.cn/liveplay-kk.rtxapp.com/live/program/live/gxwshd8m/8000000/mnf.m3u8
广西卫视,http://120.7.86.41:808/hls/33/index.m3u8
广西卫视,http://111.75.151.236:50085/newlive/live/hls/37/live.m3u8
广西卫视,http://8.134.82.80:32858/ysp0409/haiouysp.php?id=58
广西卫视,http://php.jdshipin.com:8880/bst.php?id=gxwshd8m/8000000
贵州卫视,http://183.195.235.162/hljbuv52.live.bestvcdn.com.cn/001/live/program/live/gzwshd8m/8000000/mnf.m3u8
贵州卫视,http://58.42.59.104/hljbuv52.live.bestvcdn.com.cn/liveplay-kk.rtxapp.com/live/program/live/gzwshd8m/8000000/mnf.m3u8
贵州卫视,http://111.75.151.236:50085/newlive/live/hls/45/live.m3u8
贵州卫视,http://8.134.82.80:32858/ysp0409/haiouysp.php?id=59
贵州卫视,http://php.jdshipin.com:8880/bst.php?id=gzwshd8m/8000000
海南卫视,http://183.195.235.162/hljbuv52.live.bestvcdn.com.cn/001/live/program/live/hainanwshd8m/8000000/mnf.m3u8
海南卫视,http://223.109.210.41/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel62/index.m3u8
海南卫视,http://111.75.151.236:50085/newlive/live/hls/42/live.m3u8
海南卫视,http://58.42.59.104/hljbuv52.live.bestvcdn.com.cn/liveplay-kk.rtxapp.com/live/program/live/hainanwshd8m/8000000/mnf.m3u8
海南卫视,http://59.44.192.22:65000/hls/99/index.m3u8
海南卫视,http://58.35.70.169:10055/live/lytv/hls.m3u8
海南卫视,http://8.134.82.80:32858/ysp0409/haiouysp.php?id=60
海南卫视,http://php.jdshipin.com:8880/bst.php?id=hainanwshd8m/8000000
海峡卫视,http://183.195.235.162/hljbuv52.live.bestvcdn.com.cn/001/live/program/live/hxwshd4m/4000000/mnf.m3u8
